"filename", "language", "Python", "Markdown", "JavaScript", "JSON", "PostCSS", "HTML", "JavaScript JSX", "YAML", "comment", "blank", "total"
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\.prettierrc.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\README.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 0, 0, 13, 35
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\electron-builder.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 42, 0, 1, 43
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\electron.vite.config.mjs", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\eslint.config.mjs", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 2, 32
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\package-lock.json", "JSON", 0, 0, 0, 9819, 0, 0, 0, 0, 0, 1, 9820
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\package.json", "JSON", 0, 0, 0, 47, 0, 0, 0, 0, 0, 1, 48
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\core\ipc\dialogHandlers.js", "JavaScript", 0, 0, 52, 0, 0, 0, 0, 0, 25, 13, 90
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\core\ipc\fileHandlers.js", "JavaScript", 0, 0, 150, 0, 0, 0, 0, 0, 245, 50, 445
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\core\ipc\kritaHandlers.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 4, 46
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\core\services\AssetService.js", "JavaScript", 0, 0, 182, 0, 0, 0, 0, 0, 179, 52, 413
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\core\services\DirectoryTreeService.js", "JavaScript", 0, 0, 73, 0, 0, 0, 0, 0, 69, 19, 161
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\core\services\GuidService.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 13, 4, 22
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\core\services\GuidTableService.js", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 0, 144, 15, 216
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\core\services\MetaService.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 77, 13, 128
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\core\services\ProjectService.js", "JavaScript", 0, 0, 125, 0, 0, 0, 0, 0, 146, 29, 300
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\core\services\ReconciliationService.js", "JavaScript", 0, 0, 146, 0, 0, 0, 0, 0, 208, 40, 394
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\core\services\SceneService.js", "JavaScript", 0, 0, 226, 0, 0, 0, 0, 0, 191, 50, 467
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\core\store.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 2, 6, 21
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\main\index.js", "JavaScript", 0, 0, 67, 0, 0, 0, 0, 0, 6, 25, 98
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\preload\index.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\index.html", "HTML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 15
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 2, 10, 48
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\_classes\MaterialFactory.js", "JavaScript", 0, 0, 64, 0, 0, 0, 0, 0, 8, 11, 83
"c:\Users\HP\AppData\Roaming\krita\pykrita\Krita 3D Tool Electron App\src\renderer\src\_classes\MeshFactory.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 6, 37
